 #
           1  -29.654438485357979     
           2  -29.285142126721539     
           3  -29.100432091397277     
           4  -29.024210276993685     
           5  -29.009891932981994     
           6  -29.008985949612793     
           7  -29.008976500478031     
           8  -29.008976494578256     


 #
           1  -12.965833375860013     
           2  -12.920454084535816     
           3  -12.917309908818282     
           4  -12.917175934527314     
           5  -12.917175555380487     


 #
           1  -3.1975832823191301     
           2  -2.8980611761951889     
           3  -2.6723109538628109     
           4  -2.5060543092333161     
           5  -2.4085054505917314     
           6  -2.3681233488624565     
           7  -2.3593750101504360     
           8  -2.3587159062383436     
